view_count,wishlist_add_count,cart_add_count,buy_count,price_change_pct
4,0,1,0,-1.0
3,0,0,0,-2.15
2,0,0,0,-2.46
11,1,1,0,1.87
41,4,6,6,4.89
0,0,0,0,-2.81
13,1,1,2,4.34
4,0,0,0,-1.69
13,1,3,0,3.5
18,3,0,0,3.44
4,0,0,0,-1.91
1,2,1,0,-0.52
46,6,1,1,4.99
4,0,2,0,-0.08
1,0,0,0,-2.6
2,0,1,0,-1.23
12,3,0,1,3.3
0,0,0,0,-2.71
11,1,2,0,2.62
6,0,0,0,-1.41
48,7,2,0,5.0
15,2,1,1,4.02
17,0,1,0,2.72
43,8,6,5,5.0
2,0,1,0,-1.59
3,1,0,0,-1.61
6,1,0,0,-0.65
42,2,4,0,4.92
13,2,1,0,3.05
15,3,1,0,3.7
0,2,0,0,-2.15
4,1,0,0,-1.57
3,0,0,0,-1.94
49,4,4,3,5.0
1,0,0,0,-2.65
14,3,2,0,3.87
0,0,0,0,-2.86
1,1,0,0,-2.03
20,2,4,1,4.87
53,8,2,3,5.0
14,3,1,0,3.78
4,0,0,0,-2.08
2,1,0,0,-1.93
42,10,1,1,5.0
3,1,0,0,-1.74
1,1,1,1,0.31
16,4,3,0,4.29
2,0,0,2,0.96
13,1,5,2,4.76
3,0,0,1,-0.68
15,1,8,0,4.75
5,0,0,0,-1.59
15,3,0,0,3.15
16,1,0,0,2.17
14,3,2,1,4.17
45,6,2,0,5.0
11,3,0,0,2.33
1,0,0,0,-2.58
3,1,0,0,-1.86
32,7,3,3,5.0
3,0,0,0,-2.39
1,1,0,0,-2.24
1,0,0,0,-2.81
3,0,1,0,-0.86
1,0,0,0,-2.67
2,0,1,0,-1.62
40,8,4,1,5.0
1,0,0,0,-2.59
41,10,4,2,4.86
11,1,2,1,3.86
14,2,1,1,3.9
21,0,2,0,3.7
16,2,1,1,4.03
13,0,1,0,2.19
10,4,1,0,3.22
47,6,9,4,4.94
53,6,1,1,5.0
22,2,1,0,4.05
4,0,0,0,-1.77
3,1,0,0,-1.39
11,0,2,1,3.21
14,1,0,2,4.04
2,0,0,0,-2.27
2,0,0,0,-2.75
2,0,0,0,-2.59
14,1,1,0,2.65
0,0,0,0,-2.82
52,6,6,3,5.0
3,2,0,0,-0.98
3,0,0,0,-2.18
0,0,1,0,-2.29
17,3,0,0,3.26
8,1,1,1,2.46
15,3,1,0,3.63
3,0,0,0,-2.18
14,3,1,0,3.46
44,12,5,1,5.0
44,5,2,2,4.8
5,0,0,0,-1.56
7,0,0,0,-1.2
51,5,2,0,5.0
44,8,7,1,5.0
3,4,0,0,0.16
11,3,2,3,4.93
16,2,2,0,4.04
15,3,1,2,4.54
54,8,4,3,4.93
5,1,0,0,-1.0
42,5,4,0,4.83
50,2,7,1,4.93
17,0,2,1,4.33
4,1,1,0,-0.15
5,1,0,0,-0.75
16,0,3,0,3.91
3,0,0,0,-2.17
13,0,0,0,0.91
5,0,0,0,-1.72
37,3,3,0,4.94
2,0,0,0,-2.35
2,0,1,0,-1.61
20,3,3,0,4.6
18,0,1,1,4.25
42,10,1,1,4.78
50,4,9,1,5.0
16,0,2,0,3.02
38,7,6,2,4.94
2,1,0,0,-2.04
11,0,3,1,3.79
39,4,5,0,4.97
64,8,5,3,4.84
17,3,3,0,4.37
2,1,1,0,-1.12
16,2,4,1,5.0
13,2,1,0,2.72
4,1,0,0,-1.24
3,0,0,0,-2.49
24,1,2,1,4.7
42,6,4,0,5.0
11,1,1,1,3.3
16,5,0,0,3.93
4,0,1,0,-0.89
3,0,1,0,-1.31
3,0,0,0,-2.18
36,6,4,1,4.79
2,0,0,0,-2.62
5,0,1,0,-0.69
15,2,1,0,3.5
6,0,0,1,0.49
19,1,1,1,4.09
12,0,2,0,2.45
6,1,0,0,-0.42
51,4,9,1,5.0
1,0,0,1,-1.29
44,5,2,2,4.88
37,3,8,2,5.0
4,0,0,0,-1.77
3,0,0,1,-0.69
45,5,6,3,5.0
14,1,3,1,4.22
8,1,2,0,1.98
8,0,3,0,2.16
17,1,2,0,3.7
5,0,0,0,-1.45
15,4,4,0,4.84
39,6,10,3,4.72
6,0,2,0,0.6
18,2,3,1,4.61
0,0,0,1,-1.64
4,0,0,0,-1.82
13,1,3,1,4.03
14,1,1,1,3.81
15,0,2,0,3.01
19,2,0,0,3.37
17,2,1,0,3.73
8,0,1,0,0.53
11,1,0,1,2.5
12,3,1,0,3.13
5,0,0,0,-1.72
24,0,1,0,4.06
40,5,3,1,4.91
58,7,5,1,4.78
46,5,3,4,5.0
15,3,1,0,3.81
3,2,0,0,-1.03
51,5,7,4,5.0
46,8,5,0,4.93
52,8,2,2,4.86
11,3,2,0,3.85
2,0,1,0,-1.59
4,0,1,1,0.62
3,0,1,0,-1.29
4,0,0,0,-1.88
54,7,6,0,4.92
22,5,2,1,4.89
35,3,5,0,4.9
53,4,6,2,4.81
7,0,0,0,-1.08
44,6,7,1,4.85
0,0,0,1,-1.63
2,0,0,0,-2.54
1,0,0,0,-2.42
15,2,1,0,3.35
20,2,1,0,3.74
7,0,0,0,-1.19
2,0,0,0,-2.44
2,0,0,0,-2.35
17,1,5,1,4.85
10,1,2,0,2.51
13,4,1,1,4.15
21,2,3,0,4.91
2,0,0,0,-2.54
13,1,2,0,3.26
44,2,4,1,4.77
4,1,1,0,-0.56
41,5,6,0,5.0
4,0,0,0,-1.79
6,0,0,0,-1.44
21,2,1,1,4.72
59,7,10,1,5.0
4,1,0,0,-1.27
49,5,2,3,5.0
4,1,0,0,-1.28
9,0,1,0,0.51
3,1,0,0,-1.36
6,1,1,2,3.25
41,6,5,1,4.98
16,1,1,0,3.29
1,1,0,0,-1.94
2,1,0,0,-1.76
1,0,1,0,-1.83
44,7,0,0,4.88
17,0,2,0,3.4
45,4,8,2,4.71
4,0,0,0,-1.86
1,0,0,0,-2.69
13,0,1,0,1.55
16,4,4,0,4.34
19,1,2,0,4.31
0,0,0,1,-1.87
5,0,0,0,-1.53
2,2,1,1,1.08
1,0,0,0,-2.48
17,2,2,1,4.59
1,0,0,0,-2.61
46,6,2,1,4.85
6,2,1,0,1.05
1,0,1,0,-1.97
50,8,1,2,4.77
11,2,1,0,2.39
10,3,2,2,4.37
13,2,1,0,2.77
35,2,6,2,5.0
7,0,0,0,-1.21
39,7,6,0,5.0
1,0,0,0,-2.56
39,2,8,2,4.96
7,0,0,0,-0.76
6,2,1,0,0.86
19,5,1,0,4.52
7,0,0,0,-0.93
14,1,3,1,4.16
26,3,2,0,4.9
37,9,3,1,4.87
13,1,2,1,4.04
5,0,0,0,-1.59
3,0,0,1,-0.78
4,0,0,0,-1.93
4,0,1,0,-0.92
16,1,2,1,4.36
4,0,1,0,-1.26
4,0,0,0,-1.83
43,4,5,2,4.86
16,2,0,1,3.61
2,0,0,0,-2.45
16,0,6,0,4.46
18,0,2,0,3.65
5,0,0,0,-1.73
2,1,0,0,-1.86
1,0,1,0,-1.78
2,0,0,0,-2.27
20,1,1,0,3.69
15,3,3,0,4.29
54,10,4,0,4.84
0,0,0,0,-3.01
1,0,1,0,-2.02
3,0,0,0,-2.12
5,0,0,0,-1.63
14,2,1,0,3.12
4,0,0,0,-1.77
8,3,0,1,2.81
15,2,3,0,4.09
21,0,2,1,3.99
8,4,0,0,2.04
1,0,0,0,-2.56
17,0,3,1,4.32
15,3,0,1,3.98
50,8,4,1,5.0
5,0,0,0,-1.35
13,1,0,0,1.44
5,0,0,0,-1.66
1,1,0,0,-2.44
13,6,1,0,4.1
41,6,2,1,4.9
12,3,3,1,4.11
14,1,3,0,3.96
6,0,0,0,-1.09
4,0,0,0,-1.71
16,4,0,1,4.41
19,3,0,0,3.55
4,0,0,0,-1.62
17,3,3,1,4.74
44,2,6,0,5.0
2,0,0,1,-0.83
44,4,3,0,5.0
10,1,0,0,0.91
3,0,0,0,-2.29
1,0,0,0,-2.47
5,1,0,0,-1.21
55,8,4,1,5.0
16,2,2,0,3.86
2,1,2,0,0.03
2,0,1,0,-1.42
11,2,0,2,3.96
10,1,2,0,2.44
3,1,0,0,-1.79
14,1,0,0,1.72
16,2,0,0,3.1
2,0,0,0,-2.42
9,1,2,1,3.22
12,3,0,1,3.36
12,0,3,0,3.21
13,4,1,1,4.53
13,1,3,0,3.62
32,6,8,0,5.0
6,0,0,0,-1.47
3,0,0,0,-2.06
3,0,0,0,-1.95
7,0,0,0,-1.1
9,1,1,0,1.43
18,2,0,0,3.35
6,0,0,0,-1.31
2,0,0,0,-2.66
15,2,0,0,2.5
3,1,0,0,-1.55
4,0,0,0,-1.92
4,0,0,0,-1.85
48,8,4,1,5.0
1,0,0,0,-2.9
12,4,3,1,4.82
14,1,3,0,3.64
40,5,1,4,4.97
14,2,3,1,4.41
11,2,0,0,1.47
21,1,0,0,3.8
10,0,2,0,1.93
57,1,2,1,5.0
13,3,1,0,3.16
42,5,6,0,4.98
14,2,3,0,3.87
3,0,0,0,-2.41
4,0,0,0,-1.84
19,2,2,0,4.28
6,1,0,0,-0.54
4,1,1,0,0.04
1,2,0,0,-1.79
2,1,1,0,-1.06
16,2,1,1,4.25
18,0,0,0,2.32
13,3,0,0,2.73
3,0,0,1,-0.74
46,3,5,4,4.94
23,0,1,0,3.77
16,3,1,0,3.86
22,0,3,0,4.47
13,0,4,0,3.77
14,1,0,0,2.0
3,2,0,0,-1.06
4,0,0,0,-1.53
17,4,0,0,3.96
3,1,0,0,-1.48
8,0,2,0,1.07
17,4,2,0,4.42
4,0,0,0,-2.0
13,3,2,0,3.74
42,7,5,1,5.0
23,2,2,0,4.52
2,0,0,0,-2.47
20,3,2,0,4.68
2,0,1,0,-1.72
8,3,1,2,4.06
15,5,1,1,4.44
3,0,1,0,-1.42
0,1,0,0,-2.47
16,3,3,0,4.61
11,3,1,0,2.73
1,0,0,0,-2.71
15,1,1,0,2.91
16,2,0,0,2.67
2,2,0,0,-1.42
2,0,1,0,-1.49
2,0,0,0,-2.38
2,0,0,0,-2.38
47,4,6,3,5.0
52,7,6,2,5.0
17,0,0,4,4.76
3,0,0,0,-2.34
3,0,0,0,-2.35
12,4,0,0,2.88
3,0,0,0,-2.23
3,0,0,0,-2.26
3,1,1,0,-0.55
4,0,0,0,-1.68
16,1,0,0,2.41
11,2,4,0,3.88
44,8,4,2,5.0
18,1,3,1,4.57
26,0,3,0,4.63
3,0,0,0,-2.24
21,3,2,0,4.48
1,0,0,0,-2.9
6,0,0,0,-1.33
10,2,2,1,3.76
41,6,4,0,4.88
15,3,3,1,4.42
13,1,2,1,4.05
12,3,0,0,2.24
13,3,1,1,4.07
5,1,0,0,-0.92
5,1,0,0,-1.22
1,2,0,0,-1.69
3,0,0,0,-2.05
18,0,2,0,3.59
3,0,0,0,-2.51
50,6,5,1,5.0
1,0,0,0,-2.75
4,1,0,0,-1.33
2,0,0,0,-2.48
38,5,2,5,5.0
2,0,0,0,-2.23
5,0,0,0,-1.34
0,0,2,0,-1.09
3,0,1,0,-1.33
2,3,0,0,-0.63
3,0,0,0,-2.47
1,0,0,0,-2.58
13,1,1,0,2.37
42,3,3,0,4.75
2,0,0,0,-2.24
39,7,7,1,5.0
5,0,0,0,-1.38
13,5,3,0,4.4
14,2,2,0,3.41
15,4,3,0,4.71
1,0,1,0,-2.0
16,6,1,1,4.68
5,1,0,0,-0.77
3,0,0,0,-2.35
4,1,1,0,-0.4
2,0,0,0,-2.59
7,0,0,0,-1.0
3,1,0,0,-1.63
14,4,2,0,4.02
1,0,0,0,-2.72
4,0,0,0,-1.82
12,2,1,0,2.79
2,0,1,0,-1.57
3,0,0,0,-2.14
7,0,0,0,-1.22
2,0,1,0,-1.43
4,0,1,0,-0.94
3,0,0,0,-1.98
48,6,4,1,5.0
3,0,0,0,-2.03
1,0,0,0,-2.85
34,10,7,1,5.0
8,1,0,0,0.04
3,0,0,0,-2.04
2,0,1,0,-1.52
14,2,2,0,3.55
43,10,4,1,4.88
16,3,2,0,4.17
3,0,1,1,0.18
4,0,0,0,-1.63
0,0,0,0,-2.86
2,1,0,0,-1.71
5,0,2,0,0.44
3,0,0,1,-0.81
8,2,1,0,1.68
59,4,4,1,5.0
12,2,4,0,4.18
16,1,1,0,2.98
15,3,1,0,3.59
6,0,1,0,-0.28
1,0,1,1,-0.2
4,0,0,0,-2.08
7,2,1,0,1.2
5,0,0,0,-1.48
1,0,0,0,-2.86
14,0,1,0,2.16
2,0,0,0,-2.45
3,3,0,0,-0.2
6,0,0,0,-1.26
4,0,0,0,-1.91
17,2,1,0,3.67
5,0,0,0,-1.58
2,0,0,0,-2.42
49,10,3,1,5.0
19,0,0,1,3.77
4,0,0,0,-1.89
1,0,1,0,-1.74
12,2,2,1,4.4
8,2,4,0,3.8
17,0,1,1,3.76
1,1,0,0,-2.39
17,1,0,0,2.6
5,0,1,0,-0.66
20,1,0,2,4.83
4,1,0,0,-1.36
1,1,0,0,-1.94
13,2,3,1,4.47
1,0,2,0,-1.07
6,1,0,0,-0.82
1,0,0,0,-2.71
3,0,0,0,-2.29
37,6,6,2,4.88
4,1,0,0,-1.5
1,0,0,0,-2.77
2,0,0,0,-2.56
13,4,0,0,3.1
46,9,9,0,4.99
50,5,3,0,4.86
12,2,0,1,3.06
12,4,2,0,3.91
3,0,1,0,-1.21
3,0,0,0,-2.04
45,6,9,2,4.96
1,1,0,0,-2.19
5,1,0,0,-1.14
14,0,2,1,3.78
16,2,1,1,4.0
3,1,0,0,-1.52
51,7,6,2,4.82
3,0,0,0,-2.14
48,5,6,2,4.91
17,1,1,0,3.68
64,1,5,0,5.0
13,4,4,2,4.96
4,0,0,0,-1.93
6,0,4,0,2.62
1,0,0,0,-2.66
2,1,0,1,-0.43
6,1,0,0,-0.55
3,0,0,0,-2.18
2,0,0,0,-2.66
12,1,2,0,2.77
3,2,1,0,0.19
15,4,2,1,4.56
1,1,0,0,-2.06
0,0,0,0,-3.11
3,0,0,0,-2.02
1,0,0,0,-2.97
11,0,1,1,2.45
13,0,0,0,0.76
5,0,0,0,-1.57
40,2,6,2,5.0
0,0,0,0,-3.05
19,1,2,0,3.79
4,0,0,0,-1.72
18,1,1,0,3.55
3,0,0,0,-2.11
4,0,0,0,-1.87
2,1,0,0,-2.12
5,0,1,0,-0.71
14,1,2,0,3.23
2,0,0,0,-2.58
2,1,0,0,-2.05
4,0,1,0,-0.98
6,0,0,0,-1.21
11,1,1,0,1.88
5,0,1,1,1.07
13,2,2,0,3.67
5,0,0,0,-1.53
3,1,1,0,-0.53
4,1,0,0,-1.47
5,0,1,0,-0.75
15,1,0,1,3.09
1,0,0,0,-2.74
2,0,0,0,-2.79
14,3,0,0,3.01
7,0,0,0,-0.88
2,0,1,0,-1.78
56,7,6,0,5.0
5,0,1,0,-0.54
2,0,0,0,-2.39
30,9,2,0,4.78
51,9,2,1,4.98
15,4,1,0,4.06
0,0,0,0,-3.13
40,2,10,0,4.87
15,0,0,0,1.66
43,6,2,1,5.0
1,0,0,0,-2.69
53,7,4,0,5.0
1,1,1,0,-1.39
40,8,4,2,4.95
18,0,2,0,3.35
2,0,0,0,-2.46
1,0,1,0,-1.75
40,8,6,1,5.0
6,0,0,0,-1.2
41,3,5,1,4.86
19,4,0,0,4.12
17,2,3,1,4.5
4,1,0,0,-1.26
2,0,0,0,-2.61
5,0,0,0,-1.91
1,1,0,0,-2.45
17,3,1,0,4.08
5,0,0,0,-1.48
3,0,0,0,-2.21
9,4,1,0,2.72
14,0,1,2,3.9
3,1,0,0,-1.71
3,1,0,1,0.21
2,0,0,0,-2.51
12,1,3,1,4.17
3,0,0,0,-2.05
31,11,5,1,4.92
2,1,0,0,-1.89
1,0,0,0,-2.6
5,2,0,0,-0.28
3,0,2,0,-0.25
21,0,0,1,3.99
2,0,2,0,-0.76
4,2,0,0,-0.59
4,0,0,0,-1.88
1,1,0,0,-2.28
4,0,0,0,-2.07
57,3,3,0,4.93
12,3,2,0,3.77
3,0,1,0,-1.31
16,3,1,0,4.0
5,1,0,0,-1.0
18,2,2,0,4.03
13,4,2,0,4.04
13,1,1,0,2.58
14,2,0,0,2.62
52,4,3,4,4.79
5,3,1,0,1.31
3,0,1,0,-1.23
7,1,0,0,-0.65
4,0,0,0,-1.56
14,2,1,0,2.88
5,1,2,0,0.73
18,1,1,0,3.34
2,0,0,0,-2.45
16,2,2,0,3.63
13,0,2,0,2.63
19,2,0,1,3.76
1,0,1,0,-2.0
43,7,4,1,5.0
40,7,7,2,5.0
5,0,0,0,-1.86
3,1,0,0,-1.83
3,0,1,0,-1.35
12,3,2,0,3.79
15,2,0,3,4.79
3,0,0,0,-2.17
14,2,4,1,4.5
4,1,0,0,-1.42
4,0,0,0,-2.12
36,4,7,0,5.0
14,1,0,1,3.14
3,1,0,0,-1.41
41,4,7,0,4.87
3,0,0,0,-2.35
3,2,0,0,-0.84
45,3,7,0,4.92
3,2,0,0,-1.05
4,0,0,0,-1.69
4,0,0,0,-1.87
6,0,1,0,-0.17
4,0,0,0,-1.84
3,0,0,1,-0.55
13,2,1,1,4.0
1,1,0,0,-2.33
16,1,2,0,3.78
3,0,0,0,-1.94
3,0,0,0,-2.29
3,0,0,0,-2.29
2,0,0,0,-2.15
2,0,0,0,-2.51
9,1,4,0,3.54
4,0,1,0,-1.24
1,1,0,0,-2.11
14,1,1,1,3.6
47,5,4,1,5.0
4,3,0,0,-0.02
12,1,1,0,2.32
13,3,0,0,2.82
5,0,0,0,-1.59
12,4,2,0,3.84
17,4,1,0,3.88
10,0,0,0,-0.06
